slug,url,city,name,rating,views,reviews_count,phone,locality,board,established,category,classes,gender,fees_range,about,images
/school/kochi/the-choice-school-karingachiraambalamugal,https://yellowslate.com/school/kochi/the-choice-school-karingachiraambalamugal,kochi,"The Choice School - Karingachira,Ambalamugal ",0,174,0,+919513238818,"Karingachira,Ambalamugal",CBSE,1991,Boarding Schools,,Co-Education,,,
/school/kochi/toc-h-public-school-vyttila,https://yellowslate.com/school/kochi/toc-h-public-school-vyttila,kochi,Toc H Public school - Vyttila ,4.1,169,90,+919513238818,Vyttila,"CBSE, ICSE",1978,Boarding Schools,,Co-Education,,,
/school/kochi/prabhath-residential-public-school-pallikkara,https://yellowslate.com/school/kochi/prabhath-residential-public-school-pallikkara,kochi,Prabhath Residential Public School - Pallikkara ,0,158,0,+919513238818,Pallikkara,CBSE,1995,Boarding Schools,,Co-Education,,,
/school/kochi/global-public-school-thiruvankulam,https://yellowslate.com/school/kochi/global-public-school-thiruvankulam,kochi,Global Public School - Thiruvankulam ,4.3,127,97,+919513238818,Thiruvankulam,"CBSE, IB",,Boarding Schools,,Co-Education,,,
/school/kochi/aspire-residential-public-school-thiruvankulam,https://yellowslate.com/school/kochi/aspire-residential-public-school-thiruvankulam,kochi,Aspire Residential Public School - Thiruvankulam ,0,0,0,+919513238818,Thiruvankulam,CBSE,2017,Public Schools,Nursery - 10,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/kochi/assisi-vidyaniketan-public-school-vyttila,https://yellowslate.com/school/kochi/assisi-vidyaniketan-public-school-vyttila,kochi,Assisi Vidyaniketan Public School - Vyttila ,4.0,0,98,+919513238818,Vyttila,CBSE,2003,Day Schools,Nursery - 12,,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/kochi/chinmaya-vidyalaya-kannamaly,https://yellowslate.com/school/kochi/chinmaya-vidyalaya-kannamaly,kochi,Chinmaya Vidyalaya - Kannamaly ,3.8,0,44,+919513238818,Kannamaly,CBSE,2000,Day Schools,Nursery - 12,,,,
/school/kochi/campion-school-edapally,https://yellowslate.com/school/kochi/campion-school-edapally,kochi,Campion School - Edapally ,4.4,0,150,+919513238818,Edapally,CBSE,1989,Day Schools,Nursery - 12,,,,
/school/kochi/tips-globeducate-kochi-edapally,https://yellowslate.com/school/kochi/tips-globeducate-kochi-edapally,kochi,TIPS Globeducate Kochi - Edapally ,0,0,0,+919513238818,Edapally,"Cambridge IGCSE, CBSE, IB",2012,"International Schools, Day Schools",Nursery - 12,Co-Education,,,
/school/kochi/rajagiri-public-school-kalamassery,https://yellowslate.com/school/kochi/rajagiri-public-school-kalamassery,kochi,Rajagiri Public School - Kalamassery ,4.1,0,80,+919513238818,Kalamassery,CBSE,1994,Day Schools,Nursery - 12,,,,
/school/kochi/vidyodaya-school-thevakkal,https://yellowslate.com/school/kochi/vidyodaya-school-thevakkal,kochi,Vidyodaya School - Thevakkal ,4.0,0,80,+919513238818,Thevakkal,CBSE,1990,Day Schools,1 - 12,,,,
/school/kochi/footprints-play-school-day-care-creche-preschool-kathrikadavu-kaloor-vypin,https://yellowslate.com/school/kochi/footprints-play-school-day-care-creche-preschool-kathrikadavu-kaloor-vypin,kochi,"Footprints: Play School & Day Care Creche, Preschool Kathrikadavu, Kaloor - Vypin ",0,0,0,+919513238818,Vypin,Other Boards,2012,Play Schools,,Co-Education,,,
